,star,text,symptom
19,1.0,"My first review on Yelp ever. I registered this account to tell people DO NOT GO TO THIS BUFFETT! My parents, my wife and kid and myself all had diarrhea after lunch. I called the manager and with very bad attitude, he didn't apologized for what happened and questioned me why there were no others called him about this issue but me. Excuse me? WTF! Just don't go! I had bad restaurants experience but I was too lazy to wrote reviews but not this time! I am so angry! Curse them! XXX",diarrhea
20,1.0,I use to love this restaurant until my friends and I all got food poisoning after sharing the bacon wrapped jalapenos. I called the restaurant to let them know so they didn't feed that to anyone else. The staff was rude and unsympathetic and the management did not even call me back to apologize. This is not the first time I have heard of food poisoning being an issue as JACKS. EAT AT YOUR OWN RISK!,poison
21,1.0,"Noooo don't order food here. Food poisoning. Steamed shrimp didn't seem bad. The chicken provolone sandwich was undercooked and the ""avocado"" was smeared guac, soaked mayo lettuce and ugh. $50 to hell tonight. Damn",poison
22,1.0,"Please do not eat here!!!!  I have been sick the last 2 days from eating at this disgusting place. 1st. Upset stomach and diarrhea now add body aches and swollen glands.

Board of health please lock the doors!!!!",diarrhea
23,1.0,"Went last night for my dad's birthday. Our experience there was fine, but now my brother and I have food poisoning, likely from the Southbridge sandwich.",poison
24,1.0,"Got food poisoning for a second time. I know it's cheap, but does it worth it? Please avoid shrimps rolls.",poison
25,1.0,"Went to this place on Friday and ordered a dinner salad, pasta with marina and meatballs, and in the middle of the night I woke up with food poisoning.",poison
26,1.0,"I wish there was a negative star I could give. The food is alway off the order is alway wrong. If you have food allergies then DO NOT go there. They will apologize but each time there is an issue. Also not a fan of hair in my food and food poisoning.  Note for owner, stop serving food before you kill someone.",poison
27,1.0,This is the worst Robertos I have ever been to! I ordered chicken nachos yesterday and today my girlfriend and I both have food poisoning from them. 12 hours and we still havent stopped throwing up from both ends...hate to be crude but this place is shitty!!! Dont waste your time or money.  The parent company ought to shut this location down and fire all the workers in this location!,throwing up
28,1.0,My husband got food poisoning after eating here on Tuesday evening. Never going back.,poison
29,2.0,"The food here is mostly very weird. The restaurant actually smelled like blood (not kidding). And nobody in our party of 6 felt right after eating there....varying levels of food poisoning with the common denominator being the chicken bucket. The popcorn pot de creme was good but $8 for probably an ounce. Overall, very overpriced and the food is weird/induced stomach problems. This was my second time there and the first was not impressive either. Would not return.",poison
30,1.0,Horrible food. Everything that we ordered was blah. I can't believe that this place averages 4 stars. Yelp reviews just lost a whole lot of credibility. The best part of our meal was the fortune cookie. The spring rolls were mushy. The sushi didn't look or taste fresh. The noodles in the chicken lo mein were decent but the chicken tasted sour. The chicken teriyaki was bland and the recipe needs an overhaul. We all felt ill after the meal.  About 5 hours after the meal the person in our party that ate the chicken teriyaki threw up - classic food poisoning. Never again.,poison
31,1.0,"I would give it zero star if I could because of food safety reason. My husband and I went here for brunch. He ordered a grilled pork banh mi stuffed with some suspiciously bright-colored meat, pickled veggies, and raw cilantro. I got a breakfast sandwich with cooked eggs, ham, and cheese on croissant. Later that day, my husband started to feel sick - lack of appetite, light headed, and slight diarrhea. The diarrhea was getting much worse that night and the symptoms lasted for 2 days after we put him on anti-diarrhea medicines. We believe it was due to food poisoning from the banh mi since we ate otherwise the same food that day. We had banh mi regularly in other places and we never had any issue. This place charged less for a reason. I feel grossly sick when I think about the who-knows-what meat like stuff and RAW veggies. Beware of the food safety issues here!",poison
32,1.0,"I experienced two firsts last night. (1) It was my first time at Clever Koi and (2) the first time I've ever gotten physically sick from eating food. We had the Tuna Chips, Calamari Fries, and the Black Vinegar Barbecue Ribs. I'm not sure which one it was, but since I'm the only one who got sick and only I ate the BBQ Ribs, while the rest of the table split the other two, I'm assuming it was that. I felt fine at first, but a couple hours later I found myself throwing up. 

Will never go back.",throwing up
33,1.0,"If you love yourself, don't do it. If you don't love yourself than you better hope your insurance covers for major major diarrhea after eating here.",diarrhea
34,1.0,"Definitely got food poisoning from this pho. It was tasty but I'm suffering today. Had the veggie pho, spring rolls and Chinese sausage fried rice. My roommate has had it coming out of both ends as well so we know that's what it was.",poison
35,1.0,If I could select no stars I would. This place is dirty all over and you could see if from the drive-thru window. They only have 1-2 people working and the drive-thru super full. I've been to this Sonic location many times and I've never had a problem until recently. My husband got very sick from eating one of the hotdogs on their menu. He has been throwing up all day.. It is vary rare for him to get sick so this must be due to the cleanliness or maybe even wasn't made right due to the rush of the employees because there was only 2 workers. Won't be getting any food from this location ever again.,throwing up
36,2.0,The buffet at the casino is just that.....a buffet.  Nothing over the top.  I ate at Corky's in the food court last week and got sooooo sick.  Was not in the least bit impressed.  Never mind I was out of work for a week.  Food poisoning perhaps?  Not cheap either.  $16 for a sandwich meal.  Never again eating there.,poison
37,1.0,I got food poisoning from Pink Taco at the Hard Rock Hotel last sunday. I ordered the queso dip and the pink tacos. This ruined my vacation because I was sick the rest of my time in Vegas.  I would not recommend.,poison
38,1.0,The food was not good at all! My 2 year old and I shared the sweet and sour chicken and it was pretty much tasteless and the fried rice seemed to have way too much teriyaki in it. The hot and sour soup was bland as well. After a crappy dinner my son woke up the next day vomiting all over the place and I started shortly after. We spent a good 48 hours puking everything we ingested up (which is not what you want to doing while 20 weeks pregnant). The only person who didn't get sick was my husband who had the mongolian beef.,vomit
39,1.0,"Went to this place before taking my girlfriend to the Bieber concert last night.  I work at a bar so I'm more understanding about things.  The service was alright and the food did take a while but that's not the issue.  Around 2am last night I started vomiting everything out.  I was puking every half an hour for about 10 hours.  I had the worst headache and had the chills.  Everything I tried to drink or eat came right back up.  I got food poisoning from this place and therefore I will never go back.  I never leave reviews because I'm not a fan of yelp, but I just want to warn people before they eat here.  Just an fyi I had the waffle sandwich with the carne asada, lettuce, avocado, and chipotle aoli.",poison
40,2.0,"Friendly staff, and very short wait time to be seated and to receive my meal. However, I was stricken with a violent case of food poisoning after dining here. Beware.",poison
41,1.0,"My husband and I went to dinner here with my brother and sister in law before the Jim Gaffigan show at the Wolstein Center. We thought it would be a fun place. We ordered a large pretzel and beers while we waited for our food. My brother in law and his wife ordered the perogies and Schweinebraten, while my husband ordered the Rueben sandwich and I the grilled chicken with mushroom sauce and spatzels. Everyone enjoyed the food and the waitress was really friendly so you would think that I would give it 5 stars, but I can't. Within 2 hours of eating I started to feel uncomfortable. Thank god I made it through the show and home. I ended up with horrible food poisoning. My husband had two bites from my plate and had a mild case. I'm sorry, but there should never be 'spoiled' food served to any guest.",poison
42,1.0,"So I used to eat at this location

And I loved it

But slowly
Each time I ate here

I'd get a tummy ache

Then my boyfriend was all like ""hey, everytime I eat chipotle I get diarrhea""

So it wasn't just me!

We continued to eat here though, because we loved it.
And we'd make sure we had no where to be for a few hours after eating it.

I know, we're weird.

But we got sick of getting sick.  Poo.  Literally.",diarrhea
43,1.0,Got food poisoning here. They cook the food for you and the employee cross contaminated the meat. He was constantly handling cooked and then raw meat.,poison
44,1.0,On February 18 about 11:30am I stopped by for a slice of pizza with sausage and canadian bacon toppings.  In the middle of the night I woke up vomiting and diarrhea.  One slice of pizza  gave me food poisoning.,poison
45,2.0,I used to like to order from this place from time to time but I think those days are over. My fiancé and I ended up contacting horrible food poisoning. The worst I've ever had! I've been sick all night and day.,poison
46,1.0,Three times ate there with my family three times went home vomiting!! Over priced!! Rude customer service .. Wow get real rinaldi deli!!,vomit
47,1.0,"The women who work here are very nice and helpful. I ordered a veggie spring roll with pad Thai. The spring roll was good and the peanut dipping sauce was great. The pad Thai sauce and noodles were tasty. The fried tofu was crispy. I'm not a fan of a ton a veggies in pad Thai- I could have done without the broccoli, baby corn, and peppers. I ordered medium spice--it was completely mild. My real objection is the mild case of food poisoning I got later that day. It's impossible to say for sure what did it, but I have a one strike rule with these things.",poison
48,1.0,Had the Colorado lamb chops for dinner. Had violent vomiting food poisoning overnight.,poison
49,1.0,"I wouldn't recommend this place to my worst enemy. It would only be worse if I get explosive diarrhea on the airplane , in which case I might reconsider recommending it to my worst enemy.",diarrhea
50,1.0,"I really liked this place first two times. Then I went last night for my birthday. I guess it was our fault for not reading they charge for leftovers. After singing happy birthday half heartily, the waiter kept saying he will charge us for leftovers and how much for each leftover. Honestly, we didn't even order that much but their some rolls were so sweet and drenched with sauce, it was a bit gross. And chicken fried rice so so. How are we supposed to know if we don't order what we know already if it'll taste good? I felt like we were obligated to eat bad or mediocre food that we ordered. This time, only half of our food was good. But food tasted really greasy on some flavors. Forgotten orders is common here. Oh, I also got bad diarrhea afterwards. A worst birthday dinner ever. I wonder if everyone studies their brain out on some 100 menus and love everything to finish everything on plates. Otherwise, be prepared to pay for leftovers.",diarrhea
51,1.0,"Serving cold food on styrofoam plates= class. The service was horrible, with the waitress saying they had 'ground beef' and came out with steak, saying 'Thats what we have'. Also, got food poisoning. Stat away!",poison
52,1.0,"I'm sure that not everyone will have this experience but tonight i am alone in a hotel in Wisconsin in food poisoning agony due to this food. 
Not recommended.",poison
53,1.0,"I came to this restaurant twice. The first time I when to this places to join my friend's birthday. Everything was good. The food was delicious. The Second time I brought my boyfriend. We had orange chicken. The chicken is not fresh!!!!! my boyfriend has really bad diarrhea. First, I didn't think bout is the food bad! But when I got home! Same thing happened to me! And that day the food I only eat is the chicken! I will never come to this restaurant again !!",diarrhea
54,1.0,"Went here last night with a friend and got food poisoning from the Zucca pasta. Informed the waitress after throwing up three times in the restaurant who said, oh sorry I hope you feel better. The only reason we informed her was so that she could make sure the kitchen knew and no one else got sick. Very disappointed in the response that we received but I just wanted to go home by that point.",throwing up
55,1.0,"Not impressed! The hot and sour soup was a disappointment as was the General Tso chicken, it was over cooked and the coating was hard. I had the shrimp with garlic which was OK. What I especially didn't like was styrofoam cups for water, and no refills; and flimsy plastic forks and plates. And the soup is not served in a bowl, it came in a plastic container and we were given two Styrofoam bowls and had to pour the soup into them. Since the soup was scalding hot husband had to use several paper napkins wrapped around the container to keep from burning his hand! I can understand that Chinese restaurants do lots of take out but when you have an area for people to order off the menu and eat in they should have some decent dishes and cutlery! And to top it off my husband got sick during the night. His food poisoning lasted twenty four hours plus!!!",poison
56,1.0,"Have been here a few times with the family.  Recently went with a large group that included my sons who are 6 & 9.  My boys both had the popcorn shrimp off of the kids menu and all of the adults had steak, pork or chicken. Kids got very very sick within 15-20 minutes of eating and could barely walk out on their own. 
When I attempted to call management to make sure no one else got sick, some girl answering the phone (giggling the whole time) said she was a manager and ""oops,"" did I want the General Manager to call back tomorrow, I said yes and you guessed it I've never heard from anyone. 

Don't chance it. Food is overpriced and below average, not very flavorful just drowend in bbq sauce, Not cooked correctly, gave my children horrible food poisoning, servers are not always good they tend to just disappear.   Much better places at better prices!",poison
57,1.0,"If I could give this zero stars I would.  My wife, 18-year old son, and I attended for dinner.  Had to wait 30-40 minutes for the food after placing our order as did almost everyone else there.  Scant seating so lots of folks were standing around the counter.  When the food finally arrived, two of our three orders were wrong.  Food was unexceptional and very dry.  No free chips and salsa like every other Mexican restaurant on the planet.
I was awoken at 4 am that night in the hotel to the sound of my 18-year old throwing up the Chicken Burrito he had eaten that night at La Taquito and my wife trying to clean it up off the bathroom floor.  The restaurant has Mexican folk art of skeletons.  Probably pictures of their customers who died of old age waiting for their food or died of the resulting food poisoning.",throwing up
58,3.0,"First let me say I liked Potbelly and have ordered several times but on Wednesday my wife stopped to purchase takeout meals with mine being a tuna sandwich. After eating it I began to feel not well and continued to feel worse until about three hours later I violently heaved all of meal. I was sick for the next two days. I don't know if it was bad tuna or bad mayonaise and hope no one else got sick. I hope the manager checks into it so that they don't repeat. I am afraid now to buy from them agian. 

I have determined that my sandwich was not the cause of my food poisoning but instead bad lettuce I ate at home and wish to apologize to Potbelly for thinking they were the cause of my sickness. I ate the same salad two days later and got sick again and thus determined that was the cause of my sickness.",poison
59,1.0,The serves was terrible. The food was ok until I got home and had food poisoning. I would never go here again...,poison
60,1.0,Worst place! I ordered food two days ago and my daughter vomited. Please don't go there.,vomit
61,1.0,"The use of overpriced frozen foods is outrageous. I had tried the calamari and noticed right away that there was two types of it on the plate. One that looked dark and old and the other looked freshly cooked but more like it came from a frozen bag. After eating it, the texture was completely different between the two.  I couldn't finish anything else. After diner though came the worse part as my wife and I were to watch a movie at the theater nearby but half way through the movie I felt sick and found myself throwing up. Wife and I had to leave the movies early, we don't get to go out often, but this was a horrible time cause by this restaurant.",throwing up
62,1.0,"DON'T GO! This place made me TERRIBLY SICK twice. The first time I had their raw fish, and I was paralysed the next day (fever/aching everywhere/weak/nausea/diarrhea). I decided to give them a second chance, so I went again with the prior knowledge not to order anything raw. BUT, I GOT THE SAME SYMPTOMS AGAIN. By the way, I'm very used to raw fish, as I've eaten sushi and sashimi growing up. Their food quality is seriously concerning.",diarrhea
63,1.0,"Service is EXTREMELY terrible. I got food poisoning from the cod they brought me. And the fish tanks did not look clean at all, filthy. The tofu didn't even taste like tofu. It tasted like the rotten cheese you find under your bed. I'm sad your not able to do 1/10 of a star review.",poison
64,2.0,"The Food is GREAT! Unfortunately in the span of a Month we have had 2 company dinners there and both times we have had food poisoning. 

The customer service is phenomenal, the food is just great, good portions, well seasoned. The first dinner 1 person had food poisoning and we thought it a fluke, we should try this place again because everything was so good. Second dinner, 2 people with food poisoning. Unfortunately we will not be visiting again. Order with precaution.",poison
65,1.0,Place is dirty got food poison food is not good at all they don't make anything fresh very very bad place to eat!!!,poison
66,1.0,"My Fiancee and I wanted to try their Sunday breakfast, and we were suprised at how tiny the place was and how dirty it looked. The kitchen was dark. I think the cashier was doing the cooking as there was only two women working and they weren't very friendly. It took long to get service and the food tasted great. I had the Italian Omelette and Rye with two cups of coffee. She had the BLT. When we got home both of us had to run to the toilet and had the squirts!  I have had the shits for almost a week now, with stomach cramps, headache, cold chills, fever, and loss of appetite.  I don't like having food poisoning! This place would more appropriately be called THE BOTTOM of THE COFFEE POT!!!",poison
67,1.0,"Last time I will EVER allow my kids to go down there! My two oldest met a friend for dinner last night and my two have been sick all night.  Filing a complaint with SNHD right now...food poisoning is NOT what they ordered!  Lesson learned, visit the SNHD website and research all the demerits before you go out!",poison
68,1.0,The worst. Terrible service & gave me food poisoning- broke out in hives after having their fish and chips :'(,poison
69,1.0,"So...the krazy buffet gave me krazy diarrhea. We should've known that it was a red flag when we noticed that the restaurant was dead, hence the lack of food rotation. Do you know what happens to shellfish when it sits there for quite some time? Food poisoning. Which is exactly what I got.",poison
70,1.0,We decided to give this place another shot . Worst mistake ever !! I had the chole Batura and dahi puri . I ended up having stomach ache and nausea . Avoid this place at all cost !! Don't understand what part of hygiene these ppl do not understand !!,nausea
71,1.0,ok so everytime i go to this chain i always regret it afterwards. Of course i ignored my experience and went for my desire. After you eat there you feel like you just inhaled an elephant. And for the life of me I have no idea why but whenever i eat here I get projectile diarrhea...in fact i went to robertos one time and I had to use the bathroom before i ate and i walked into the most disgusting bathroom i have ever seen..he evidently had just had a meal there. That was enough to keep me from ordering at all. From now on I think i will just pass on this chain its obviously not the best food nor does it agree with me.,diarrhea
72,2.0,"Like Noel M. said...BAD OYSTERS.  I went to Gallagher's last November and both me and my GF got severe food poisoning the next day.  We were out of commission for several days from all the vomiting etc.  I even had to extend my trip in Vegas because I was too sick to fly back.  My first experience here was great.  I loved the food, especially the oysters.  I should've known something was up when the baked oysters didn't taste quite the same.

On a positive note, the steaks are some of the best you'll get.  Just stay away from the oysters!",poison
73,2.0,"My food was 4 stars might i say,  filet mignon steak cooked just like i wanted. Green beans and lobster tail- about 4 stars as well.  But here's why i give them 2 stars.  The waiter fails to mention that the salad he would be bringing, was a hunk of a slice of lettuce with miscellaneous items thrown over it, thus making it a salad! On top of that my lobster tail was twice the price of my steak. Last but not least, me and the boyfriend became severely sick.  The worst stomach ache and diarrhea known to man.  This was the last thing we needed to end our Vegas trip! We spent our last night taking turns on the ivory throne, pooping our lives away. We couldn't point out if it was the lobster or the steak.  The next day after having peptol bismol our stomachs settled and i had leftovers,  my boyfriend decided to take a chance with the steak again,  whaddaya know,  he's pooping his brains out once again.  Very bad experience and i don't think we will ever visit again.  Thanks for the overly priced laxative though.",diarrhea
74,2.0,"The food was ok, but.... me and my child both got food poisening, woke up to throw up everywhere. The service was horrible as well, had to remind the waiter 3-4x just to get silverware, and then was sitting for 20 min trying to get someones attention for the bill.",throw up
75,2.0,"I'm not sure I trust me to write an unbiased review after how sick I got last night about 2.5 hours after eating dinner here.  It was bad enough that I had to call in to work today.  So the $50 for dinner for two has blossomed into a loss of about $350 on top of it.  As you can imagine, this has not pleased me.  That is why I'm leading with this information.  You should know where I'm coming from.
I can't complain about the service.  The food was standard Olive Garden fare, although the zuppa toscana seemed watered down.  My lasagna wasn't bad going down, although not so much coming back up.  If I hadn't gone through hours of abdominal pain, vomiting, and diarrhea, I probably wouldn't complain.  It was too expensive, but that wasn't unexpected.  
So, while it could have been a tummy bug, the timing was too coincidental to ignore.  Hence, two stars instead of three, and I'm not going to be wanting Olive Garden for awhile.  I'd be lying if I said I would not return, but it will be awhile!",vomit
76,1.0,"Well I guess I should have read some reviews before I went here to eat the 9.99 T bone. Had a hour to spare before work so I decided to give it a shot. My steak was over cooked and my waiter never came by to check on me. Worst of all, I got food poisoning!",poison
77,1.0,This was the most awkward service I've ever had at a restaurant. The waiter was training a new girl. Fine. Why on a Saturday night though? He was awkward. She was awkward. Dinner was awkward. Aside from the weird vibe the food was truly not good. The seasonal salad contained figs that were not ripe and hardly a blue cheese chunk to be found. The salad was heavy on the prosciutto but so heavy it felt greasy. Sadly the salad was still the best part of the dinner. The oysters were pricey ($17 for 6) and definitely not my favorite. I did not finish them (thankfully but I will get to that later). I had my suspicions so I opted for something that seemed difficult to mess up for my entree. Wrong. I had the Mac nut crusted mahi. It was so over cooked it chewed like chicken. The vegetables were tough and the asparagus looked old. Let's just say after spending over $200 on dinner we weren't happy. Icing on the cake was two hours later I began vomiting from food poisoning. Still in bed as I write this review.!,poison
78,1.0,"This was our second visit to Mallorca and our last! 
We both had food poisoning from this dinner. Projectile vomiting for hours. Horrible, more horrible than I thought possible. It took us 2 days to feel normal again.
Aside from that being one of the worst feelings I've ever experienced and never wanting to even look at that place again, here is the rest of my review if you care to read. 
Don't bother asking them questions about the wine list! 2 different people came to our table to try to help and neither had a clue about any of the wines. We ended up picking randomly. I will admit, the food is pretty tasty on the way down. Can't say the same on the way up. We had veal osso bucco and the grouper seafood special, then peach and mango sorbet for dessert. You can tell the waitstaff is trying but they need more wine education and  they tried to take away our plates about every 2 minutes while we were still eating. That's all. 
Hey Mallorca-clean your kitchen.",poison
79,2.0,"FOOD POISONING......  Some tapas were excellent others average. Ambiance was beautiful , we were out in terrace (see pic) but we got food poisoning and we're sick for 3 days. The waitress was very accommodating with our stroller and 2 babies! The drinks were so so.",poison
80,2.0,"My mistake for ordering a dozen oysters in Wisconsin.  I got the #2 tower and the shrimp were the best part.  The crab legs were not very succulent and almost seemed like they had been frozen for too long; the meat was a little mushy.  The oysters seemed OK going down, but I had terrible food poisoning later that night as my body rid itself of all of them.

I love seafood so I will probably try it again, but next time I'll stay away from the oysters.

Two stars because it has a great atmosphere.",poison
81,2.0,Would have given the place a better review an all around good eating establishment. I ordered the chicken Parmesan and it was a solid dish. The down side is my friend ordered the terminator and to make a long story short he didn't fee well after. He ended up getting food poisoning. So if you want to take the risk of going there and getting food poisoning be my guest but I know I won't be dining out there for a long time to come,poison
82,1.0,"A terrible lunch that ended in physical pain. 

Wait time for lunch - A   no wait
Waitress - B - smiled, friendly, good drink refills, the problem is that she brought me the food.... see below.
Food - F - as others noted, cold and wrong, literally made me sick within an hour - 

boneless wings with cheese fries. The fries had so little cheese sprinkled on them, and the wrong kind of cheese, that we sent them back. Second time around they didnt have much more cheese than before. Wings did not taste very good. I only ate half.

The unforgivable sin is that I am now spending my afternoon running to the boys room due to mild food poisoning. I will not be returning.",poison
83,1.0,"I went with a group on saturday night, and most of us had a travelzoo voucher.  Our server was friendly, and service was quick and attentive.  We shared three appetizers - the meat and cheese plate, salmon carpaccio, and guacamole and chips.  They were nice for starters and not too large.

We each got a salad, mine was average - butter lettuce with a viniagrette, good but not great.  

For dinner I had the salmon, most people got steaks - all were tasty.  The meats were cooked to a good temp, the salmon was moist.  

One unfortunate person in our party got the chicken and shrimp.  He wasn't unfortunate in that it tasted bad, I think it was good.  He was unfortunate in that he got a bad case of food poisoning - vomiting and bloody stools.  And that's the reason I had to give the place a 1 - I wouldn't go back or recommend it to anyone because of that.",poison
84,1.0,Beautiful modern hotel but extremely sad when I got food poisoning from the restaurant downstairs on our Anniversary weekend and the hotel did not compensate us back in anyway nor give us a call back when we were over charged. I also had to go to the hospital. Unfortunately will not be back again,poison
85,2.0,Its not about what happens but how you handle it. Yesterday I was having a long day and I decided to stop by Millers Ale house for dinner because they were open late. I was greeted by the bartender Summer and the manager Ryan stopped by to check in with me because she was busy. I ordered the Southwest Bistro Steak salad. It tasted amazing. So much so that I ordered a carry out of the same thing. Towards the end I noticed a hair in my food... EEEWWW butttt this could have happened anywhere. The manager Ryan was very apologetic and took care of my bill. He ensured me that this does not happen often and was very empathic towards the situation which was nice. Despite the hair I would have still given them a 3.5 star for the customer service and cleanliness but the night got worse. Once I got home I immediately felt sick and realized I had a case of food poisoning. I'm sad to have to give a bad review because the food was very tasty and the staff was nice but today I am still feeling ill.,poison
86,1.0,"My best friend and I were doing a lot of running around and needed to grab a quick lunch so we came here. We heard they were great for the meatballs and garlic bread. 

The garlic bread was in the shape of a knot and they where huge and very garlicky. They tasted really good but  a bit too much garlic. 

The meatballs honestly weren't the greatest and they where overly used with garlic!

The pizza was just a normal brick oven pizza nothing special at all. 

A little while latter man was I sick. I think it's way too much garlic used in the food. My friend and I were vomiting from the food. It was so bad.",vomit
87,3.0,"Actually we are fan of sashimi and sushi . So we came to i love sushi and expect to get really fresh fish and unique sushi . But over all on the menu most are sushi roll .so we try a hand roll , sashimi . Which is ok . And unagi don came with good portion but eel little too sweet and have some bone which is you have to careful litle bit while you eat . And yellow tail collar was very disappointment because the fish was old and taste not impression . ( made me got diarrhea later that night ) . For the service for out table i guess the waiter not really attentive . After he took an order he came back a couple time to asked again that what we order . We took not too long to finish our dinner before we leave we have one lady to seem like she attention but just right before we get a check .",diarrhea
88,2.0,Good selection of sushi but I got diarrhea all night. I suspect from one of the maki rolls.,diarrhea
89,1.0,"Definitely got food poisoning from this place! I had the basil-pesto shrimp, recommended by our waiter. I actually questioned the flavor of the meal a bit- but after a busy day, I was starving and it was the ONLY thing I'd eaten that day. I chalked it up to just being something I'd never had before. I was violently ill (I'll spare you the details) from 2am that morning until about 7pm that night. Couldn't so much as even take a sip of water. Since I couldn't exactly make a phone call the next day from being so sick- my husband sent an email to the manager. No response. Great business ethics! Not! Even if you DON'T think I could have possibly gotten sick from your food don't you call to ask some clarifying questions to be sure?",poison
90,1.0,Ate at Outback for lunch with my family. Went back to hotel and vomited for the next 13 hours. Cause? You decide.,vomit
